               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039997,            0.031915,            0.024308,              0.4795,             0.50765,             0.42368,             0.23896,            0.042859,            0.020253,            0.024324,           0.0056688,           0.0056688,           0.0056688
                  37,            0.041536,            0.031591,            0.026306,             0.47306,             0.46716,             0.45309,             0.26694,            0.042853,            0.020439,             0.02414,            0.005545,            0.005545,            0.005545
                  38,             0.03936,             0.03217,            0.023319,             0.50842,             0.47471,             0.46281,             0.25231,            0.043457,            0.023256,            0.023354,           0.0054212,           0.0054212,           0.0054212
                  39,            0.039247,            0.033036,            0.023917,               0.513,             0.50286,             0.47925,              0.2715,            0.043795,            0.019977,            0.022765,           0.0052975,           0.0052975,           0.0052975
                  40,            0.040099,            0.033792,            0.023736,             0.52302,             0.51826,             0.49079,             0.27993,            0.041798,            0.022303,            0.022617,           0.0051737,           0.0051737,           0.0051737
                  41,             0.03951,            0.031279,            0.023313,             0.53675,             0.49076,             0.49611,             0.25346,            0.043799,            0.019535,             0.02264,             0.00505,             0.00505,             0.00505
                  42,            0.039098,            0.033648,            0.023425,             0.54509,             0.44462,              0.4761,             0.26656,            0.043272,            0.020946,            0.022713,           0.0049263,           0.0049263,           0.0049263
                  43,            0.039345,            0.032698,            0.021427,             0.49458,             0.52067,             0.46507,               0.249,            0.043046,            0.021272,            0.022406,           0.0048025,           0.0048025,           0.0048025
                  44,            0.039852,            0.033997,            0.022903,             0.61037,             0.40692,             0.44212,             0.23333,            0.044607,            0.021778,            0.021905,           0.0046788,           0.0046788,           0.0046788
                  45,            0.038655,             0.03271,             0.02222,             0.54382,             0.51223,             0.47309,              0.2785,            0.042086,            0.022443,            0.021283,            0.004555,            0.004555,            0.004555
                  46,            0.038359,            0.032608,            0.019285,             0.52643,             0.54523,             0.49178,             0.26274,            0.043003,            0.021617,            0.020964,           0.0044313,           0.0044313,           0.0044313
                  47,            0.037582,            0.030022,            0.021398,             0.57206,             0.53094,             0.49004,             0.27803,            0.042833,            0.020288,            0.020701,           0.0043075,           0.0043075,           0.0043075
                  48,            0.038073,            0.030891,            0.021832,             0.49199,             0.61353,             0.51756,             0.28132,            0.042243,            0.020303,            0.020504,           0.0041837,           0.0041837,           0.0041837
                  49,            0.037727,            0.032996,            0.020797,             0.49061,             0.61931,             0.51426,              0.3072,            0.042132,            0.020093,            0.020171,             0.00406,             0.00406,             0.00406
                  50,             0.03759,            0.031208,            0.019637,             0.53077,             0.60107,              0.5222,             0.30363,            0.041349,            0.020031,            0.020039,           0.0039362,           0.0039362,           0.0039362
                  51,            0.036627,            0.030386,            0.018414,              0.4894,             0.58781,             0.52479,             0.30914,            0.041239,            0.019233,            0.019729,           0.0038125,           0.0038125,           0.0038125
                  52,             0.03644,              0.0298,            0.018374,              0.5034,             0.57547,             0.51857,             0.31747,            0.040845,            0.019858,            0.019564,           0.0036888,           0.0036888,           0.0036888
                  53,            0.037592,            0.032031,            0.018016,             0.50142,             0.59489,             0.52388,             0.31325,            0.041938,            0.021836,            0.019523,            0.003565,            0.003565,            0.003565
                  54,            0.035934,            0.029326,            0.018796,             0.49931,             0.59983,             0.54388,             0.30461,            0.041412,            0.020773,            0.019233,           0.0034413,           0.0034413,           0.0034413
                  55,            0.036605,            0.028901,             0.01954,             0.52126,             0.61219,             0.51387,              0.2867,            0.041505,            0.020818,            0.019158,           0.0033175,           0.0033175,           0.0033175
                  56,            0.036321,            0.031211,            0.018351,             0.48727,             0.60523,             0.50499,             0.25932,            0.041061,            0.021689,            0.018961,           0.0031938,           0.0031938,           0.0031938
                  57,            0.035384,             0.02675,            0.018055,             0.51311,             0.61818,             0.50808,             0.27329,              0.0415,            0.021102,            0.018762,             0.00307,             0.00307,             0.00307
                  58,            0.034182,            0.029039,            0.017593,             0.52678,             0.55106,             0.51866,             0.26071,            0.042378,            0.020017,            0.018503,           0.0029462,           0.0029462,           0.0029462
                  59,            0.036947,            0.031597,            0.018794,             0.53938,             0.53955,             0.52054,             0.26474,            0.041956,            0.020275,            0.018268,           0.0028225,           0.0028225,           0.0028225
                  60,            0.035826,            0.032101,            0.017648,             0.48878,             0.54568,             0.51385,             0.27788,            0.042289,            0.020087,            0.017825,           0.0026987,           0.0026987,           0.0026987
                  61,            0.035036,             0.03051,            0.016507,             0.58745,             0.49194,              0.5016,             0.26179,             0.04182,             0.02048,            0.017751,            0.002575,            0.002575,            0.002575
                  62,            0.034372,             0.02998,            0.019292,             0.55269,             0.49308,             0.49641,             0.26537,            0.040953,             0.02101,            0.017875,           0.0024513,           0.0024513,           0.0024513
                  63,            0.035061,            0.031297,              0.0172,             0.54537,             0.48203,             0.49455,             0.27202,            0.041065,            0.020829,            0.017775,           0.0023275,           0.0023275,           0.0023275
                  64,            0.034365,            0.028735,            0.017233,             0.58018,             0.54421,             0.54634,              0.2966,            0.041012,            0.020758,            0.017283,           0.0022038,           0.0022038,           0.0022038
                  65,            0.033384,            0.029006,            0.017213,             0.60532,             0.49531,             0.53748,             0.29681,            0.041222,            0.020707,            0.017001,             0.00208,             0.00208,             0.00208
                  66,             0.03302,            0.028199,            0.016479,             0.56526,             0.54203,             0.53202,              0.3086,            0.042163,            0.020919,            0.017036,           0.0019563,           0.0019563,           0.0019563
                  67,            0.033197,            0.031691,            0.014766,             0.59127,             0.59352,             0.51594,             0.29406,             0.04061,            0.021591,            0.017277,           0.0018325,           0.0018325,           0.0018325
                  68,            0.033021,            0.029855,            0.017233,             0.60506,             0.59001,             0.52034,             0.29815,            0.040473,            0.021163,            0.017418,           0.0017087,           0.0017087,           0.0017087
                  69,            0.032656,            0.027574,            0.016256,             0.59923,             0.61016,              0.5466,             0.31403,            0.039918,            0.020902,            0.017297,            0.001585,            0.001585,            0.001585
                  70,            0.034655,            0.031386,            0.016413,             0.59624,             0.59596,             0.52948,             0.30446,            0.040042,            0.021394,            0.016927,           0.0014612,           0.0014612,           0.0014612
                  71,            0.033492,             0.03119,            0.017279,             0.57181,             0.63219,             0.53036,              0.3095,            0.039406,            0.022472,            0.016798,           0.0013375,           0.0013375,           0.0013375
                  72,            0.031507,            0.028244,            0.014381,             0.53835,             0.62134,             0.53421,             0.30572,             0.03914,            0.022395,            0.016788,           0.0012138,           0.0012138,           0.0012138
                  73,            0.032503,            0.029217,            0.016489,             0.56102,             0.58143,             0.52507,             0.29799,             0.04002,            0.021276,            0.016978,             0.00109,             0.00109,             0.00109
                  74,             0.03319,            0.028922,            0.015699,             0.58216,             0.60319,             0.52895,             0.30082,            0.040154,            0.021741,            0.016721,          0.00096625,          0.00096625,          0.00096625
                  75,            0.031687,            0.027321,            0.014845,             0.55438,             0.66107,             0.52307,             0.29281,            0.039994,            0.021601,            0.016539,           0.0008425,           0.0008425,           0.0008425
                  76,             0.03165,            0.027345,            0.016097,             0.54549,             0.64389,             0.51267,             0.29414,            0.040254,            0.020918,            0.016605,          0.00071875,          0.00071875,          0.00071875
                  77,            0.031783,            0.028448,            0.014998,             0.54106,             0.71112,             0.52555,              0.3023,            0.040317,            0.021023,            0.016384,            0.000595,            0.000595,            0.000595
                  78,             0.03119,            0.029398,            0.014788,             0.54515,             0.71535,             0.52374,             0.29889,            0.039752,            0.021084,            0.016272,          0.00047125,          0.00047125,          0.00047125
                  79,            0.031636,            0.027925,            0.016773,             0.54663,             0.68873,             0.52829,             0.30848,            0.039714,            0.021271,            0.016403,           0.0003475,           0.0003475,           0.0003475
